older_cohort,newer_cohort,contrast,dimension,dimension_label,family,direction_semantics,older_n,newer_n,older_mean,newer_mean,older_sd,newer_sd,older_median,newer_median,mean_delta,hedges_g,effect_magnitude,cliffs_delta,wasserstein_1,sd_ratio_newer_to_older,row_welch_normal_approx_p,older_source_units,newer_source_units,older_source_macro_mean,newer_source_macro_mean,source_macro_delta,source_macro_welch_normal_approx_p,ci90_low,ci90_high,ci95_low,ci95_high,equivalence_band_raw,equivalence_status,practical_direction,row_bh_q_60_tests,source_macro_bh_q_60_tests
V0,V1,V1-V0,D,Intrinsic difficulty,intrinsic,burden,5426,3359,5.7153888684113525,5.775349806490027,0.6187433421119471,0.4504510888384969,5.6,5.8,0.05996093807867453,0.10698755988088283,very_small,0.1076287777625004,0.16005877668601234,0.728009593284639,1.6098331399088366e-07,99,162,5.7144339002525895,5.825730022902114,0.1112961226495246,0.0677359154089424,0.007786864547657315,0.20655117250954871,-0.014109864663974124,0.22677374956344398,0.11207997976805284,inconclusive_source_macro,newer higher / more burdensome,2.476666369090518e-07,0.10695144538254064
V0,V1,V1-V0,CG,Conceptual gap,intrinsic,burden,5426,3359,2.4593623295245117,2.407859481988687,0.2978538885486151,0.2626958044368071,2.5,2.5,-0.05150284753582479,-0.18074411230064624,very_small,-0.09772706298618222,0.06481475791583574,0.8819619771186249,2.2700037756733287e-17,99,162,2.4595472706255768,2.4030133385121677,-0.05653393211340907,0.024899040060188834,-0.098754639603933,-0.017371550078883205,-0.10773096571041639,-0.011012399387173565,0.056984926160932294,inconclusive_source_macro,newer lower / less burdensome,4.0058890158941095e-17,0.04668570011285406
V0,V1,V1-V0,RG,Route gap,intrinsic,burden,5426,3359,2.4043494286767415,2.1738612682345937,0.2709795691733068,0.3023459099126635,2.5,2.0,-0.23048816044214782,-0.8132782262582765,large,-0.4396720628967492,0.2333516625265953,1.1157516813354154,1.7215041223467966e-285,99,162,2.4227565384136933,2.1921931332893494,-0.23056340512434392,1.145059577838715e-22,-0.2718027509731551,-0.19354620145122228,-0.2804394576239473,-0.18604719381086796,0.05667641664109984,different_source_macro,newer lower / less burdensome,1.47557496201154e-284,7.633730518924767e-22
V0,V1,V1-V0,TD,Technical depth,intrinsic,burden,5426,3359,2.663287873203096,2.869604048824055,0.49230520381528053,0.4848467867343168,2.5,3.0,0.20631617562095883,0.4214758829632991,small,0.24029248651948373,0.21221409009820835,0.9848500137248961,9.910313828030018e-83,99,162,2.6527519856175683,2.96902910741191,0.31627712179434164,1.1590524125965557e-09,0.22971761833005566,0.4009004255858149,0.2153843427086639,0.4170068808899769,0.09789341011385044,different_source_macro,newer higher / more burdensome,2.9730941484090054e-82,3.8635080419885194e-09
V0,V1,V1-V0,KB,Known barrier,intrinsic,burden,5426,3359,1.2422594913380023,1.461446859184281,0.47495814002041176,0.2912038680253708,1.0,1.5,0.2191873678462788,0.5288335189122714,moderate,0.3997771527099791,0.2894633273663781,0.6131148063129438,2.2210803780173785e-158,99,162,1.2354533774190073,1.4510707661105071,0.21561738869149982,3.375145932845798e-05,0.12512253861957304,0.29628839142838964,0.10641434385589767,0.31097108538297985,0.08288757901166184,different_source_macro,newer higher / more burdensome,1.2114983880094791e-157,8.100350238829916e-05
V0,V1,V1-V0,SS,Search scale,intrinsic,burden,5426,3359,2.8438997419830447,2.8655849955343853,0.3455532080937704,0.3198615066054587,3.0,3.0,0.021685253551340544,0.06454112210561418,negligible,0.015126412725954127,0.021685253551340634,0.9256505195537357,0.002754923014960554,99,162,2.8338642440597583,2.8632607683867572,0.029396524326998907,0.20884775152403753,-0.008214714150643076,0.06861200391941495,-0.01596280003170255,0.07613390862173634,0.06719251552794801,inconclusive_source_macro,newer higher / more burdensome,0.0035933778456007227,0.26661415088175006
V0,V1,V1-V0,AI_adj,AI-relative adjustment,protocol,burden,5426,3359,-0.1690011057869517,-0.13694551949985115,0.850700550128869,0.6777553476042041,-0.5,-0.5,0.03205558628710056,0.040621198864502626,negligible,0.06106979208857006,0.14949785289467205,0.7967026088105078,0.05113077578987362,99,162,-0.1464633610581717,-0.09777394961431236,0.04868941144385934,0.5708534862918228,-0.090190964596201,0.19224644010746217,-0.11692853820658028,0.22009908760642374,0.15781340682702605,inconclusive_source_macro,newer higher / more burdensome,0.05788389712061165,0.6462492297643276
V0,V1,V1-V0,AI_D,AI difficulty,protocol,burden,5426,3359,5.544047180243273,5.638285203929741,1.3448911849441332,1.021341146519781,5.4,5.6,0.09423802368646861,0.07653079046725189,negligible,0.09515627566740886,0.2929984383790702,0.7594228871105342,0.00020417046278364302,99,162,5.555050297213072,5.727718903300802,0.17266860608772916,0.18112031037114415,-0.03607593496900549,0.38320248957996267,-0.08221975314026221,0.4248166124740675,0.2462537644956465,inconclusive_source_macro,newer higher / more burdensome,0.00027222728371152405,0.2362438830927967
V0,V1,V1-V0,H,Human-effort prior,context,context,5426,3359,1.860486546258754,1.844298898481691,1.5091358234884011,0.50887546200093,1.0,2.0,-0.016187647777063052,-0.013190795003737982,negligible,0.25929507919868466,0.766058573459116,0.3371965956150011,0.46769166675867024,99,162,1.5716641946496626,1.8232244607003572,0.2515602660506946,0.03559521602586986,0.04859110171507624,0.43444395914881007,0.005386603685741593,0.461616305997185,0.24541758754807655,inconclusive_source_macro,newer lower (context signal),0.4838189656124175,0.061020370330062614
V0,V1,V1-V0,X,Exposure,context,context,5426,3359,1.488020641356432,3.0014885382554333,0.7436020616684939,0.05174891650994439,1.0,3.0,1.5134678968990012,2.585634420286761,large,0.8874830228179252,1.5558280854084074,0.06959221763563996,0.0,99,162,1.3122868255568154,3.001048979262487,1.6887621537056716,9.178950499031543e-107,1.5529724572602404,1.8049222370606413,1.5219891259551865,1.82111057718447,0.11705743417865629,different_source_macro,newer higher (context signal),0.0,1.3768425748547316e-105
V0,V1,V1-V0,T,100-hour tractability,protocol,favorable,5408,2817,4.692862426035503,5.697195598154065,1.4921559584741866,1.0184219084808608,5.0,6.0,1.004333172118562,0.7445502943953389,moderate,0.40367371443035,1.0074559862668118,0.6825170671316787,3.1408176614313138e-283,99,159,4.490376473485632,5.650498542412764,1.1601220689271319,2.3760717862480685e-19,0.9459495736741351,1.3773803636536641,0.9089387368769636,1.4153723121305504,0.26975788582353055,different_source_macro,newer higher / more favorable,2.3556132460734852e-282,1.2960391561353102e-18
V0,V1,V1-V0,V_true,Verification if true,execution,burden,5426,3359,5.48315517876889,5.6674903245013395,1.206399249420634,1.2154173815551612,5.7,5.8,0.18433514573244913,0.1523483323321897,very_small,0.11104506358905941,0.19010526428988492,1.0074752468047856,4.278026778429282e-12,99,162,5.579484960596762,5.709023604599881,0.12953864400311854,0.1564769157195949,-0.021071785001529307,0.2811282701178412,-0.04652546482082522,0.3142851671906929,0.24197101690933495,inconclusive_source_macro,newer higher / more burdensome,7.1300446307154695e-12,0.20863588762612653
V0,V1,V1-V0,V_false,Verification if false,execution,burden,5426,3359,5.2993180980464425,5.518993748139328,0.8276609066511886,0.795929975668072,5.3,5.4,0.2196756500928858,0.26929462212481176,small,0.16690080190129075,0.21967565009288417,0.9616619188750818,3.3400214697214794e-35,99,162,5.397874654179925,5.581483426649648,0.1836087724697224,0.020131910845966876,0.05496112056436453,0.31684994472504846,0.0338041384616805,0.33831928007032686,0.16313500004644155,inconclusive_source_macro,newer higher / more burdensome,7.422269932714398e-35,0.04026382169193375
V0,V1,V1-V0,F,Formalization burden,execution,burden,5426,3359,5.541909325469959,5.86883000893123,1.6257280436089592,1.4355590583416025,5.8,6.0,0.326920683461271,0.21011665599815485,small,0.11159724379557173,0.33676362484358824,0.8830253399300415,6.571067103899676e-23,99,162,5.823198838040957,5.95341584688874,0.13021700884778298,0.4742715321047231,-0.17005640020844237,0.41993900692279745,-0.2299406807505446,0.48223427656499096,0.311153596677908,inconclusive_source_macro,newer higher / more burdensome,1.2320750819811893e-22,0.5579665083584978
V0,V1,V1-V0,P,Prerequisite preparation,execution,burden,5426,3359,6.565241430151124,7.0824947901161055,0.9727536603047153,1.0555577257854751,6.6,7.0,0.5172533599649816,0.5145244966209701,moderate,0.26933593636408426,0.5172987238953022,1.0851233656163488,5.5424892187143366e-117,99,162,6.579609147022214,7.259667730087678,0.6800585830654633,4.52829359509288e-09,0.4891107434767573,0.8603026585831802,0.4499146064989113,0.8976676348022721,0.20104356262292533,different_source_macro,newer higher / more burdensome,1.8474964062381122e-116,1.4299874510819624e-08
V0,V1,V1-V0,B,Breadth,execution,burden,5426,3359,1.8750460744563213,2.430782971122358,1.0779124079288984,0.8579337618498545,1.0,2.0,0.5557368966660365,0.5559446428976771,moderate,0.36532256728242296,0.556616632102366,0.7959215939431377,4.845065857142828e-157,99,162,1.6078226172394607,2.569054182137151,0.9612315648976903,2.9808795099257834e-25,0.8168676892587868,1.1076050608225434,0.7910043802091279,1.1321051131251667,0.19990819114766278,different_source_macro,newer higher / more burdensome,2.422532928571414e-156,2.2356596324443376e-24
V0,V1,V1-V0,L,Tool leverage,execution,favorable,5426,3359,4.864891264283082,4.803542721047931,1.1257294029362448,1.119759695358018,4.5,4.5,-0.06134854323515082,-0.05460257534453183,negligible,-0.052403295216585336,0.13301861512282434,0.9946970314867356,0.012760248969617355,99,162,4.822826362568359,4.889621899961686,0.06679553739332622,0.4849896660488218,-0.09145333736118193,0.22418266945946516,-0.1229406964328704,0.2608216811932859,0.22469015063757258,practically_equivalent_source_macro,newer lower / less favorable,0.015950311212021694,0.5596034608255637
V0,V1,V1-V0,ambiguity,Ambiguity,context,burden,5426,3359,2.18046443051972,1.9060434653170588,1.0596242469069856,1.1607702303177998,2.3,1.5,-0.27442096520266124,-0.24958965162812238,small,-0.33253478257959235,0.36825549790754203,1.0954545761915666,9.094151745054183e-29,99,162,2.3283667699775106,2.070094225431433,-0.2582725445460774,0.00156045245450422,-0.3857800607039291,-0.12054742233769726,-0.4140502042847247,-0.09308118305396831,0.21987893274110776,inconclusive_source_macro,newer lower / less burdensome,1.8188303490108365e-28,0.003343826688223329
