cohort_code,cohort_label,dimension,dimension_label,family,direction_semantics,n,mean,sd,min,p05,p25,median,p75,p95,max
V0,Original v1.2 compatibility cohort,D,Intrinsic difficulty,intrinsic,burden,5426,5.7153888684113525,0.6187433421119471,3.4,4.9,5.4,5.6,5.9,6.9,9.6
V0,Original v1.2 compatibility cohort,CG,Conceptual gap,intrinsic,burden,5426,2.4593623295245117,0.2978538885486151,1.0,2.0,2.5,2.5,2.5,3.0,4.0
V0,Original v1.2 compatibility cohort,RG,Route gap,intrinsic,burden,5426,2.4043494286767415,0.2709795691733068,1.0,2.0,2.5,2.5,2.5,2.5,4.0
V0,Original v1.2 compatibility cohort,TD,Technical depth,intrinsic,burden,5426,2.663287873203096,0.49230520381528053,1.5,2.0,2.5,2.5,3.0,3.5,4.0
V0,Original v1.2 compatibility cohort,KB,Known barrier,intrinsic,burden,5426,1.2422594913380023,0.47495814002041176,0.5,1.0,1.0,1.0,1.5,2.0,4.0
V0,Original v1.2 compatibility cohort,SS,Search scale,intrinsic,burden,5426,2.8438997419830447,0.3455532080937704,1.5,2.5,2.5,3.0,3.0,3.0,4.0
V0,Original v1.2 compatibility cohort,AI_adj,AI-relative adjustment,protocol,burden,5426,-0.1690011057869517,0.850700550128869,-3.0,-1.0,-1.0,-0.5,0.5,1.5,2.5
V0,Original v1.2 compatibility cohort,AI_D,AI difficulty,protocol,burden,5426,5.544047180243273,1.3448911849441332,0.4,3.8,4.6,5.4,6.4,8.1,10.0
V0,Original v1.2 compatibility cohort,H,Human-effort prior,context,context,5426,1.860486546258754,1.5091358234884011,1.0,1.0,1.0,1.0,2.0,6.0,9.0
V0,Original v1.2 compatibility cohort,X,Exposure,context,context,5426,1.488020641356432,0.7436020616684939,1.0,1.0,1.0,1.0,2.0,3.0,5.0
V0,Original v1.2 compatibility cohort,T,100-hour tractability,protocol,favorable,5408,4.692862426035503,1.4921559584741866,0.0,2.0,4.0,5.0,6.0,7.0,10.0
V0,Original v1.2 compatibility cohort,V_true,Verification if true,execution,burden,5426,5.48315517876889,1.206399249420634,1.9,2.9,5.0,5.7,6.4,6.9,9.0
V0,Original v1.2 compatibility cohort,V_false,Verification if false,execution,burden,5426,5.2993180980464425,0.8276609066511886,2.6,4.3,4.6,5.3,5.7,6.7,9.0
V0,Original v1.2 compatibility cohort,F,Formalization burden,execution,burden,5426,5.541909325469959,1.6257280436089592,2.2,3.2,4.0,5.8,6.8,7.8,10.0
