cohort_code,dimension,dimension_label,n,groups,eta2,within_sd,total_sd
V0,D,Intrinsic difficulty,5040,99,0.5030093839187681,0.4245067318238336,0.5962738110286944
V0,CG,Conceptual gap,5040,99,0.17810227174065874,0.2593588331239974,0.2832874931718652
V0,RG,Route gap,5040,99,0.11609801291546751,0.25598039591688215,0.26961242279561526
V0,TD,Technical depth,5040,99,0.7168011083713017,0.2647655065056914,0.4926640559516826
V0,KB,Known barrier,5040,99,0.8143719875896959,0.1790794536389508,0.41158472749486663
V0,SS,Search scale,5040,99,0.1179992233989875,0.32217978383490825,0.3397027399559702
V0,AI_adj,AI-relative adjustment,5040,99,0.7270348786448794,0.44842051034903474,0.8498986462805777
V0,AI_D,AI difficulty,5040,99,0.6707157061081572,0.7770515613509187,1.3409098376511241
V0,H,Human-effort prior,5040,99,0.7913956124308519,0.6796717850593245,1.4735767818655259
V0,X,Exposure,5040,99,0.8625517700762564,0.26884600977424405,0.7180741075703332
V0,T,100-hour tractability,5022,99,0.6627344892245729,0.8705812198456985,1.484373305634772
V0,V_true,Verification if true,5040,99,0.2619493290752297,1.0422758660077265,1.2013646253742094
V0,V_false,Verification if false,5040,99,0.5321951993047582,0.5712264162247253,0.8270108240193333
V0,F,Formalization burden,5040,99,0.8213049773464276,0.6968561432457272,1.6323833364788225
V0,P,Prerequisite preparation,5040,99,0.765385252908298,0.4765294584586085,0.9741982557469623
V0,B,Breadth,5040,99,0.5601578799752716,0.7285570396881675,1.087803367182659
V0,L,Tool leverage,5040,99,0.24417316545148215,0.9917724204392406,1.129629749948401
V0,ambiguity,Ambiguity,5040,99,0.19144790665515088,0.9806891110606795,1.0799722541244883
V0,literature,Literature load,5040,99,0.7483397668154357,0.5274129300390237,1.0410671027040928
V0,collection_prior,Collection-barrier prior,5040,99,0.7908620081956713,0.3023702338575286,0.6547233303843548
V1,D,Intrinsic difficulty,3359,162,0.29614454104430343,0.3873097326393245,0.45045108883849694
V1,CG,Conceptual gap,3359,162,0.10505517343627702,0.25469492731422466,0.2626958044368071
V1,RG,Route gap,3359,162,0.10047558558271408,0.29388647737213264,0.30234590991266347
V1,TD,Technical depth,3359,162,0.8175713803439777,0.2122364806713216,0.48484678673431675
V1,KB,Known barrier,3359,162,0.13636131959187348,0.27735257971846283,0.2912038680253708
V1,SS,Search scale,3359,162,0.11499641233996127,0.3083922971244542,0.3198615066054587
V1,AI_adj,AI-relative adjustment,3359,162,0.6787984595477303,0.39366861329103303,0.6777553476042041
V1,AI_D,AI difficulty,3359,162,0.558582136508144,0.6954482338615405,1.0213411465197808
V1,H,Human-effort prior,3359,162,0.17339791754620315,0.4741642260718965,0.50887546200093
V1,X,Exposure,3359,162,0.033877883846822554,0.0521298290747789,0.051748916509944405
V1,T,100-hour tractability,2817,159,0.5444205382000694,0.7075361578560321,1.0184219084808608
V1,V_true,Verification if true,3359,162,0.2340703724573301,1.0901566420828854,1.2154173815551612
V1,V_false,Verification if false,3359,162,0.47284252569672325,0.5922622785240426,0.795929975668072
V1,F,Formalization burden,3359,162,0.8520662455540771,0.5658792006710855,1.4355590583416027
V1,P,Prerequisite preparation,3359,162,0.9143855054467357,0.31653713342782697,1.0555577257854751
V1,B,Breadth,3359,162,0.5416155427382618,0.5953025298335448,0.8579337618498545
V1,L,Tool leverage,3359,162,0.2573961747427719,0.9889457085313877,1.1197596953580182
V1,ambiguity,Ambiguity,3359,162,0.18237627947728796,1.0757021347001046,1.1607702303177998
V1,literature,Literature load,3359,162,0.2752538428983672,0.2397221369416362,0.27475534643627625
V1,collection_prior,Collection-barrier prior,3359,162,0.21418465789143537,0.6368703870873211,0.7010060661395698
V2,D,Intrinsic difficulty,6673,1106,0.2902683802843484,0.49594358944444955,0.537734369784882
V2,CG,Conceptual gap,6673,1106,0.18736329399743112,0.2945204668328854,0.29843506823818067
V2,RG,Route gap,6673,1106,0.2264920405808637,0.28218603811261733,0.29307968794879163
V2,TD,Technical depth,6673,1106,0.557186468234002,0.3595442478228278,0.4935424299371854
V2,KB,Known barrier,6673,1106,0.2702655699372487,0.43423075199494243,0.4643235913145038
V2,SS,Search scale,6673,1106,0.21641796093736532,0.3085833581216178,0.3184291784529402
V2,AI_adj,AI-relative adjustment,6673,1106,0.48854089319500504,0.5631358644173867,0.7192673075865923
V2,AI_D,AI difficulty,6673,1106,0.4180021129218119,0.9191421461695638,1.1005367982374663
V2,H,Human-effort prior,6673,1106,0.36045745808973617,0.6668189133220741,0.7616505883817728
V2,X,Exposure,6673,1106,0.14876427290471084,0.08908252837394344,0.0881962673276459
V2,T,100-hour tractability,6606,1103,0.4211964505174073,0.9237203792384111,1.108251372321084
V2,V_true,Verification if true,6673,1106,0.2774117924427838,1.0514060486692165,1.1298157590668991
V2,V_false,Verification if false,6673,1106,0.35957905995231143,0.6597061287078251,0.7530093151232189
V2,F,Formalization burden,6673,1106,0.5326445985756276,1.0177082626415306,1.3598226136796259
V2,P,Prerequisite preparation,6673,1106,0.6051005715515159,0.7510478099233379,1.0917090821277309
V2,B,Breadth,6673,1106,0.5096601086454368,0.7194461073708114,0.9384956105876787
V2,L,Tool leverage,6673,1106,0.3127890347962611,1.0162875604090957,1.1198353203855287
V2,ambiguity,Ambiguity,6673,1106,0.24125578887299437,0.9636008448306113,1.0104901130893147
V2,literature,Literature load,6673,1106,0.3181407500164215,0.29070523995409536,0.3215792985823238
V2,collection_prior,Collection-barrier prior,6673,1106,0.0,0.0,0.0
